replicate,r2,status
579,-0.10598230607736991,ok
580,-0.12101398786397799,ok
581,-0.09765574006696909,ok
582,-0.028961049480626944,ok
583,-0.10250388390953513,ok
584,-0.13464934066288148,ok
585,-0.08091381736287095,ok
586,-0.07226650817351832,ok
587,-0.06528484865325135,ok
588,-0.027656439263065158,ok
589,-0.13230295712765683,ok
590,-0.07244031220710045,ok
591,-0.05752722131970911,ok
592,-0.13026821966746516,ok
593,-0.11124950233519271,ok
594,-0.11992239430371998,ok
595,-0.12658170238410582,ok
596,-0.10897827695683437,ok
597,-0.10114994270493916,ok
598,-0.09041017081837865,ok
599,-0.10351779216208024,ok
600,-0.10951713268031904,ok
601,-0.08977437055073412,ok
602,-0.10141836933585968,ok
603,-0.10498815364540737,ok
604,-0.07962569309951317,ok
605,-0.09768075113197505,ok
606,-0.10622441370837832,ok
607,-0.05661403265321474,ok
608,-0.080432129271232,ok
609,-0.12305558458393961,ok
610,-0.07481331011775838,ok
611,-0.12757612231758997,ok
612,-0.1021174766224271,ok
613,-0.1251439373126293,ok
614,-0.10868706234848347,ok
615,-0.14154323287141635,ok
616,-0.08036771370100171,ok
617,-0.07350964564450146,ok
618,-0.09708000479626988,ok
619,-0.10859921995506205,ok
620,-0.07852543544170287,ok
621,-0.08361775945597327,ok
622,-0.10288820819174394,ok
623,-0.13439578518269957,ok
624,-0.10399399364373862,ok
625,-0.0938114595438797,ok
626,-0.10258802889735974,ok
627,-0.11103428584865416,ok
628,-0.07988599649686878,ok
629,-0.13054098866757968,ok
630,-0.09126971980380838,ok
631,-0.0779351166589699,ok
632,-0.05917517443654874,ok
633,-0.11996676742856294,ok
634,-0.10311967257117005,ok
635,-0.10931569088731963,ok
636,-0.07218991929438534,ok
637,-0.11137473723436409,ok
638,-0.08742522222724047,ok
639,-0.13782681074648573,ok
640,-0.1497078461127932,ok
641,-0.1036090206662208,ok
642,-0.10612331576258338,ok
643,-0.12674781971112714,ok
644,-0.08228782144312308,ok
645,-0.0969644753111103,ok
646,-0.0845421122508021,ok
647,-0.12019235105004333,ok
648,-0.09308703837086307,ok
649,-0.06653901688512143,ok
650,-0.10648172450712678,ok
651,-0.10859918939491364,ok
652,-0.12631301827040353,ok
653,-0.18155840645251153,ok
654,-0.048877598327662364,ok
655,-0.11646598103380823,ok
656,-0.07834173803983457,ok
657,-0.08954986022671885,ok
658,-0.1093389446520967,ok
659,-0.11181087873554807,ok
660,-0.11257342473802767,ok
661,-0.07435104507751844,ok
662,-0.10014584285876715,ok
663,-0.11466127001809445,ok
664,-0.10662535870062939,ok
665,-0.09750195245342641,ok
666,-0.06442479492254316,ok
667,-0.11760948935626026,ok
668,-0.1326054587955252,ok
669,-0.05420191761774373,ok
670,-0.0416183739711955,ok
671,-0.06790169525154255,ok
672,-0.07798189186231319,ok
673,-0.08874232800579107,ok
674,-0.09712851774255715,ok
675,-0.06042119767962628,ok
676,-0.06873627036160479,ok
677,-0.1236891851451225,ok
678,-0.06817775803681503,ok
679,-0.09372465609960279,ok
680,-0.0557629892261895,ok
681,-0.09227457255419647,ok
682,-0.11187732536449713,ok
683,-0.08774219481300993,ok
684,-0.06936738279558341,ok
