replicate,delta_r2,observed_delta
360,0.05165776468429539,0.0352320913883896
361,-0.010197374015778138,0.0352320913883896
362,0.12220754258888056,0.0352320913883896
363,0.020576719034491875,0.0352320913883896
364,0.08900975200259931,0.0352320913883896
365,0.10931532225652796,0.0352320913883896
366,0.1085920312324894,0.0352320913883896
367,0.05524723668880893,0.0352320913883896
368,0.09580668295947548,0.0352320913883896
369,0.046228956047327685,0.0352320913883896
370,0.10362861752671837,0.0352320913883896
371,0.12364609042557884,0.0352320913883896
372,0.048296410600108475,0.0352320913883896
373,0.1123082776715757,0.0352320913883896
374,0.04638938329016273,0.0352320913883896
375,0.09034517957396804,0.0352320913883896
376,0.08737519404134031,0.0352320913883896
377,0.05664073135843195,0.0352320913883896
378,0.1013958636261274,0.0352320913883896
379,0.09340708055049562,0.0352320913883896
380,0.03676135109979395,0.0352320913883896
381,0.09982473011104409,0.0352320913883896
382,0.10998807391196086,0.0352320913883896
383,0.1284285573171945,0.0352320913883896
384,0.13862931349807806,0.0352320913883896
385,0.06075410538863879,0.0352320913883896
386,0.10946442076355001,0.0352320913883896
387,0.0896344445068804,0.0352320913883896
388,0.09192776299206395,0.0352320913883896
389,0.07166425039965563,0.0352320913883896
390,0.09563985401180197,0.0352320913883896
391,0.02284331142491236,0.0352320913883896
392,0.10671862625568052,0.0352320913883896
393,-0.01547517536775489,0.0352320913883896
394,0.07742476608067317,0.0352320913883896
395,0.010937956235886004,0.0352320913883896
396,0.08187504339214013,0.0352320913883896
397,-0.04363637700776679,0.0352320913883896
398,0.14094840646978968,0.0352320913883896
399,0.03779354674106672,0.0352320913883896
400,0.0660001772729738,0.0352320913883896
401,0.07278359835778014,0.0352320913883896
402,0.07923463763789951,0.0352320913883896
403,0.08538113405529546,0.0352320913883896
404,-0.00429804530279132,0.0352320913883896
405,0.06889615360806667,0.0352320913883896
406,-0.10477791177552231,0.0352320913883896
407,0.08849244163384329,0.0352320913883896
408,-0.005546268651651087,0.0352320913883896
409,0.06811508520570952,0.0352320913883896
410,0.10707931065561971,0.0352320913883896
411,0.10393844042599765,0.0352320913883896
412,0.07345635482168267,0.0352320913883896
413,0.1118426213679653,0.0352320913883896
414,0.009801487247967589,0.0352320913883896
415,0.10508749510999416,0.0352320913883896
416,0.09475392822321427,0.0352320913883896
417,0.04634732221588056,0.0352320913883896
418,0.08942162750628657,0.0352320913883896
419,0.012903039354778434,0.0352320913883896
420,0.07318544950401418,0.0352320913883896
421,0.08345303184861974,0.0352320913883896
422,0.10875092051144897,0.0352320913883896
423,0.04639496708866764,0.0352320913883896
424,0.05067752676935222,0.0352320913883896
425,0.08505517380980276,0.0352320913883896
426,0.0513097277416511,0.0352320913883896
427,0.08541448824880493,0.0352320913883896
428,0.10307329326874837,0.0352320913883896
429,0.09258813600981897,0.0352320913883896
430,0.09036399728955768,0.0352320913883896
431,0.09239654855771762,0.0352320913883896
432,0.12282409685795215,0.0352320913883896
433,0.13130737683941363,0.0352320913883896
434,0.04859184564923669,0.0352320913883896
435,0.10480845852633802,0.0352320913883896
436,0.11451156144308572,0.0352320913883896
437,0.05685734312655788,0.0352320913883896
438,0.10521206408826533,0.0352320913883896
439,0.03765457380369619,0.0352320913883896
440,0.07199678808234455,0.0352320913883896
441,0.07060389029687086,0.0352320913883896
442,0.06733757520091832,0.0352320913883896
443,0.10124646500117829,0.0352320913883896
444,0.056298609664721666,0.0352320913883896
445,-0.035515433366926974,0.0352320913883896
446,0.05589881575535416,0.0352320913883896
447,0.09074930134832127,0.0352320913883896
448,-0.04503395988245851,0.0352320913883896
449,0.11652393902407043,0.0352320913883896
450,0.04127168090927491,0.0352320913883896
451,0.02340072498102963,0.0352320913883896
452,0.05653179465266667,0.0352320913883896
453,0.08025920096768613,0.0352320913883896
454,0.04115868993671834,0.0352320913883896
455,0.06784352895080015,0.0352320913883896
456,0.15267937435212242,0.0352320913883896
457,0.11998654046904322,0.0352320913883896
458,0.038392223562202954,0.0352320913883896
459,0.08820519580371577,0.0352320913883896
460,-0.0009761836020627523,0.0352320913883896
461,0.09276210438342725,0.0352320913883896
462,-0.0025301974462055288,0.0352320913883896
463,0.056926857442386014,0.0352320913883896
464,0.13270174985531935,0.0352320913883896
465,0.1215446522914112,0.0352320913883896
466,0.10206421418183653,0.0352320913883896
467,-0.010604066136345347,0.0352320913883896
468,0.15399896642793043,0.0352320913883896
469,0.05236030421531579,0.0352320913883896
470,0.11844757417289786,0.0352320913883896
471,0.024651504370885924,0.0352320913883896
472,0.11688748750027045,0.0352320913883896
473,0.06350378828692882,0.0352320913883896
474,0.04637769981656659,0.0352320913883896
475,0.039503848230130645,0.0352320913883896
476,0.08774225885764908,0.0352320913883896
477,0.06509907015738703,0.0352320913883896
478,0.03469047137337089,0.0352320913883896
479,0.0889529183007387,0.0352320913883896
480,0.0454289506669715,0.0352320913883896
481,0.03899762323029732,0.0352320913883896
482,0.07281582567490841,0.0352320913883896
483,0.0220063649163722,0.0352320913883896
484,0.11354014379324096,0.0352320913883896
485,0.057348213879497734,0.0352320913883896
486,0.013792843169169844,0.0352320913883896
487,0.07648538067885013,0.0352320913883896
488,0.1131183408260561,0.0352320913883896
489,0.07641727200818882,0.0352320913883896
490,0.0817388881509209,0.0352320913883896
491,0.09384693269421673,0.0352320913883896
