overall,overall_rho,Rest,Stim8hr,Stim48hr,Rest_rho,Stim8hr_rho,Stim48hr_rho,observed_agreement,observed_rho
0.4166666666666667,-0.14157014157014158,0.42857142857142855,0.2,0.47058823529411764,-0.35824175824175825,-0.49999999999999994,0.02696078431372549,0.5669642857142857,0.15768917911426772
0.4878048780487805,-0.21132404181184672,0.5,0.6,0.38461538461538464,-0.15170278637770898,-0.09090909090909088,-0.2747252747252747,0.5669642857142857,0.15768917911426772
0.42105263157894735,-0.24600569199612463,0.5,0.29411764705882354,0.5454545454545454,-0.309090909090909,-0.2034313725490196,-0.07272727272727274,0.5669642857142857,0.15768917911426772
0.5135135135135135,0.009957325746799429,0.5625,0.5,0.4444444444444444,0.032352941176470584,-0.0979020979020979,-0.13333333333333333,0.5669642857142857,0.15768917911426772
0.45652173913043476,-0.08388071672659751,0.6,0.4666666666666667,0.3125,0.125,0.075,-0.47240630890847124,0.5669642857142857,0.15768917911426772
0.5945945945945946,0.0799004209808536,0.75,0.5882352941176471,0.5,0.5952380952380953,0.3186274509803922,-0.3426573426573427,0.5669642857142857,0.15768917911426772
0.3617021276595745,-0.1950676538475627,0.4375,0.4666666666666667,0.1875,0.1323529411764706,-0.25357142857142856,-0.39882277169531377,0.5669642857142857,0.15768917911426772
0.46875,0.010081569101089824,0.5833333333333334,0.5454545454545454,0.2222222222222222,0.39860139860139865,0.20909090909090913,-0.5333333333333333,0.5669642857142857,0.15768917911426772
0.4,-0.3328486330412489,0.4375,0.42857142857142855,0.35294117647058826,-0.3411764705882353,-0.5357142857142858,-0.25490196078431376,0.5669642857142857,0.15768917911426772
0.6285714285714286,0.05000350176839733,0.75,0.6,0.5,0.4685314685314686,-0.06785714285714285,0.023809523809523815,0.5669642857142857,0.15768917911426772
0.4,-0.006851571264621678,0.23076923076923078,0.38461538461538464,0.5263157894736842,-0.38461538461538464,-0.24725274725274726,0.3508771929824562,0.5669642857142857,0.15768917911426772
0.3783783783783784,-0.17461916929495155,0.2857142857142857,0.3,0.5384615384615384,-0.22637362637362637,-0.6484848484848483,0.22283377339169547,0.5669642857142857,0.15768917911426772
0.5116279069767442,0.006040471156750227,0.5,0.5333333333333333,0.5,0.2087912087912088,0.11785714285714284,-0.22637362637362637,0.5669642857142857,0.15768917911426772
0.4634146341463415,0.04895896873704549,0.3888888888888889,0.5384615384615384,0.5,0.16615067079463364,-0.18131868131868134,0.0303030303030303,0.5669642857142857,0.15768917911426772
0.5,0.01072444742687732,0.6666666666666666,0.5,0.3333333333333333,0.0979020979020979,0.12087912087912088,-0.2867132867132868,0.5669642857142857,0.15768917911426772
0.53125,0.0065988452298042476,0.8461538461538461,0.36363636363636365,0.25,0.25274725274725274,-0.36363636363636365,-0.5952380952380953,0.5669642857142857,0.15768917911426772
0.3902439024390244,-0.20749128919860632,0.5,0.36363636363636365,0.3333333333333333,-0.30069930069930073,-0.41818181818181827,0.06501547987616099,0.5669642857142857,0.15768917911426772
0.5666666666666667,0.20338229252964038,0.5714285714285714,0.8333333333333334,0.47058823529411764,0.7500000000000002,0.3714285714285715,-0.17892156862745098,0.5669642857142857,0.15768917911426772
