series,bin_left,bin_right,density
Matched null,1.333333333333333,1.5,0.0827485291326626
Matched null,1.5,1.666666666666666,0.0702057316378822
Matched null,1.666666666666666,1.833333333333333,0.06840918580375771
Matched null,1.833333333333333,2.0,0.06638679066236466
Matched null,2.0,2.166666666666666,0.06358398178022417
Matched null,2.166666666666666,2.333333333333333,0.05629151641677728
Matched null,2.333333333333333,2.5,0.05285708863161881
Matched null,2.5,2.666666666666666,0.049446574302524374
Matched null,2.666666666666666,2.833333333333333,0.04025128107800335
Matched null,2.833333333333333,3.0,0.038660846460428853
Matched null,3.0,3.166666666666666,0.03284608085025633
Matched null,3.166666666666666,3.333333333333332,0.0309633706585691
Matched null,3.333333333333332,3.5,0.024224710571265722
Matched null,3.5,3.666666666666666,0.016913645853103114
Matched null,3.666666666666666,3.833333333333332,0.008014423989371825
Matched null,3.833333333333332,4.0,0.005791231732776577
Matched null,4.0,4.166666666666666,0.003377111406338976
Matched null,4.166666666666666,4.333333333333332,0.0010070222053520628
Matched null,4.333333333333332,4.5,0.0003374454355665188
Matched null,4.5,4.666666666666666,0.0
Matched null,4.666666666666666,4.833333333333332,0.0
Matched null,4.833333333333332,5.0,0.0
Matched null,5.0,5.166666666666666,0.0
Matched null,5.166666666666666,5.333333333333332,0.0
Matched null,5.333333333333332,5.5,0.0
Matched null,5.5,5.666666666666666,0.0
Matched null,5.666666666666666,5.833333333333332,0.0
Matched null,5.833333333333332,6.0,0.0
Matched null,6.0,6.166666666666666,0.0
Matched null,6.166666666666666,6.333333333333332,0.0
Matched null,6.333333333333332,6.5,0.0
Matched null,6.5,6.666666666666666,0.0
Matched null,6.666666666666666,6.833333333333332,0.0
Matched null,6.833333333333332,7.0,0.0
Matched null,7.0,7.166666666666666,0.0
Matched null,7.166666666666666,7.333333333333332,0.0
Matched null,7.333333333333332,7.5,0.0
Matched null,7.5,7.666666666666666,0.0
Matched null,7.666666666666666,7.833333333333332,0.0
Matched null,7.833333333333332,8.0,0.0
