target,state_availability,available_Rest,Rest_target_baseMean_bin,Rest_n_cells_target_bin,Rest_response_degree_bin,available_Stim8hr,Stim8hr_target_baseMean_bin,Stim8hr_n_cells_target_bin,Stim8hr_response_degree_bin,available_Stim48hr,Stim48hr_target_baseMean_bin,Stim48hr_n_cells_target_bin,Stim48hr_response_degree_bin,stratum_key,stratum_targets,permutable_stratum
ENSG00000171466,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",5,True
ENSG00000171467,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,low,low,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",3,False
ENSG00000171469,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,low,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",30,True
ENSG00000171475,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,low,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",226,True
ENSG00000171488,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,low,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",226,True
ENSG00000171497,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,low,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",226,True
ENSG00000171517,Rest,True,low,high,low,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low,31,True
ENSG00000171552,"Rest,Stim48hr",True,high,low,low,False,NA,NA,NA,True,high,low,high,"states=Rest,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",4,False
ENSG00000171574,Stim8hr,False,NA,NA,NA,True,low,low,low,False,NA,NA,NA,states=Stim8hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low,46,True
ENSG00000171603,"Rest,Stim8hr",True,high,high,high,True,high,high,high,False,NA,NA,NA,"states=Rest,Stim8hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high",11,True
