excluded_source_chromosome,subset,scope,metric,estimate,full_estimate,difference_from_full,denominator,source_chromosomes_retained,null_finite_replicates,null_denominator_median,permutation_p_upper,strata_frozen,permutation_mappings_frozen
9,primary,Stim8hr,direction_agreement,0.5147058823529411,0.5147058823529411,0.0,136,15,1000,66.5,0.35864135864135865,True,True
9,primary,Stim8hr,score_spearman,0.019920285026256597,0.019920285026256597,0.0,136,15,1000,66.5,0.5294705294705294,True,True
9,primary,Stim48hr,direction_agreement,0.456,0.4603174603174603,-0.0043174603174602755,125,14,1000,85.0,0.7812187812187812,True,True
9,primary,Stim48hr,score_spearman,-0.01651129600768575,-0.004536081466409906,-0.011975214541275843,125,14,1000,85.0,0.7132867132867133,True,True
9,bonferroni,overall,direction_agreement,0.5263157894736842,0.5324675324675324,-0.0061517429938482415,152,12,1000,56.0,0.4865134865134865,True,True
9,bonferroni,overall,score_spearman,0.17627550340521744,0.18517063497338632,-0.008895131568168874,152,12,1000,56.0,0.38161838161838163,True,True
9,bonferroni,Rest,direction_agreement,0.7678571428571429,0.7719298245614035,-0.004072681704260561,56,10,1000,14.0,0.14385614385614387,True,True
9,bonferroni,Rest,score_spearman,0.47115730904813335,0.4709638834504549,0.0001934255976784316,56,10,977,14.0,0.15848670756646216,True,True
9,bonferroni,Stim8hr,direction_agreement,0.3541666666666667,0.3541666666666667,0.0,48,10,1000,18.5,0.7992007992007992,True,True
9,bonferroni,Stim8hr,score_spearman,0.004113076543803678,0.004113076543803678,0.0,48,10,990,19.0,0.6215943491422805,True,True
9,bonferroni,Stim48hr,direction_agreement,0.4166666666666667,0.42857142857142855,-0.011904761904761862,48,7,1000,21.0,0.7952047952047953,True,True
9,bonferroni,Stim48hr,score_spearman,-0.002358686730613602,0.01726221720740294,-0.01962090393801654,48,7,987,21.0,0.680161943319838,True,True
10,primary,overall,direction_agreement,0.5783132530120482,0.5858823529411765,-0.007569099929128353,415,18,1000,212.0,0.16983016983016982,True,True
10,primary,overall,score_spearman,0.20133761853084858,0.20242085916217342,-0.0010832406313248388,415,18,1000,212.0,0.14585414585414586,True,True
10,primary,Rest,direction_agreement,0.74375,0.7423312883435583,0.0014187116564416957,160,16,1000,50.0,0.07192807192807193,True,True
10,primary,Rest,score_spearman,0.4714965984026354,0.4642587211814317,0.007237877221203726,160,16,1000,50.0,0.06993006993006994,True,True
10,primary,Stim8hr,direction_agreement,0.5,0.5147058823529411,-0.014705882352941124,132,14,1000,66.0,0.42657342657342656,True,True
10,primary,Stim8hr,score_spearman,0.012036919086174653,0.019920285026256597,-0.007883365940081944,132,14,1000,66.0,0.5454545454545454,True,True
10,primary,Stim48hr,direction_agreement,0.44715447154471544,0.4603174603174603,-0.013162988772744855,123,14,1000,85.0,0.8021978021978022,True,True
10,primary,Stim48hr,score_spearman,-0.010459701320191094,-0.004536081466409906,-0.005923619853781188,123,14,1000,85.0,0.7072927072927073,True,True
10,bonferroni,overall,direction_agreement,0.5324675324675324,0.5324675324675324,0.0,154,13,1000,56.0,0.4695304695304695,True,True
10,bonferroni,overall,score_spearman,0.18517063497338632,0.18517063497338632,0.0,154,13,1000,56.0,0.3706293706293706,True,True
10,bonferroni,Rest,direction_agreement,0.7719298245614035,0.7719298245614035,0.0,57,11,1000,14.0,0.13886113886113885,True,True
10,bonferroni,Rest,score_spearman,0.4709638834504549,0.4709638834504549,0.0,57,11,979,14.0,0.15816326530612246,True,True
10,bonferroni,Stim8hr,direction_agreement,0.3541666666666667,0.3541666666666667,0.0,48,10,1000,18.5,0.7992007992007992,True,True
10,bonferroni,Stim8hr,score_spearman,0.004113076543803678,0.004113076543803678,0.0,48,10,990,19.0,0.6226034308779012,True,True
10,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,21.0,0.7792207792207793,True,True
10,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,987,22.0,0.6639676113360324,True,True
11,primary,overall,direction_agreement,0.5871121718377088,0.5858823529411765,0.0012298188965322865,419,18,1000,214.0,0.13886113886113885,True,True
11,primary,overall,score_spearman,0.19903717869657878,0.20242085916217342,-0.003383680465594646,419,18,1000,214.0,0.13686313686313686,True,True
