response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
8265,NCOA6,Stim48hr,23,14,9,0.6086956521739131
8266,NCOA6,Stim8hr,27,13,14,0.48148148148148145
8443,NF1,Rest,11,4,7,0.36363636363636365
8444,NF1,Stim48hr,3,2,1,0.6666666666666666
8449,NFAT5,Rest,1623,917,706,0.5650030807147258
8450,NFAT5,Stim48hr,1,1,0,1.0
8456,NFATC3,Stim48hr,1,0,1,0.0
8458,NFE2L1,Rest,64,27,37,0.421875
8462,NFIX,Stim8hr,39,26,13,0.6666666666666666
8463,NFKB1,Rest,89,43,46,0.48314606741573035
8464,NFKB1,Stim48hr,62,44,18,0.7096774193548387
8465,NFKB1,Stim8hr,204,126,78,0.6176470588235294
8466,NFKB2,Rest,442,259,183,0.5859728506787331
8467,NFKB2,Stim48hr,737,439,298,0.5956580732700135
8468,NFKB2,Stim8hr,1349,816,533,0.6048925129725723
8469,NFKBIA,Rest,4,0,4,0.0
8470,NFKBIA,Stim48hr,3,3,0,1.0
8471,NFKBIA,Stim8hr,5,4,1,0.8
8478,NFRKB,Rest,3019,1664,1355,0.5511758860549851
8479,NFRKB,Stim48hr,2519,1408,1111,0.5589519650655022
8480,NFRKB,Stim8hr,2891,1650,1241,0.5707367692839848
8581,NONO,Rest,15,7,8,0.4666666666666667
8582,NONO,Stim48hr,13,7,6,0.5384615384615384
8583,NONO,Stim8hr,55,32,23,0.5818181818181818
8623,NR1H2,Rest,3,0,3,0.0
8624,NR1H2,Stim48hr,2,1,1,0.5
8625,NR1H2,Stim8hr,2,0,2,0.0
8627,NR2C2,Rest,284,165,119,0.5809859154929577
8628,NR2C2,Stim48hr,212,120,92,0.5660377358490566
8629,NR2C2,Stim8hr,262,133,129,0.5076335877862596
8630,NR3C1,Rest,2,0,2,0.0
8631,NR3C1,Stim48hr,2,1,1,0.5
8634,NR4A3,Stim48hr,396,241,155,0.6085858585858586
8635,NR4A3,Stim8hr,31,24,7,0.7741935483870968
8662,NSD2,Rest,177,93,84,0.5254237288135594
8938,PA2G4,Rest,51,35,16,0.6862745098039216
9077,PCBD1,Rest,4,4,0,1.0
9078,PCBD1,Stim48hr,2,1,1,0.5
