response_row,target_gene,culture_condition,inferred_tf,regulon_genes,weighted_mean_score,ulm_score,evidence_status,activity_inference_status
5029,GATA3,Stim48hr,HIF1A,52,-0.0030665718681680467,-0.9488282699584438,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5030,GATA3,Stim8hr,HIF1A,52,0.001554815313563897,1.5326687878924696,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5685,HIF1A,Rest,HIF1A,52,0.0,-0.0630314659047034,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5686,HIF1A,Stim48hr,HIF1A,52,-0.022376305853518155,-15.613411890195028,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5687,HIF1A,Stim8hr,HIF1A,52,0.0,-0.07641516615205148,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12208,SP3,Rest,HIF1A,52,0.0,0.16602549776649597,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12209,SP3,Stim48hr,HIF1A,52,0.0,0.32972375546330907,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12210,SP3,Stim8hr,HIF1A,52,0.0,0.11634299702650616,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14321,USF1,Rest,HIF1A,52,0.0,0.12196781126722497,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14322,USF1,Stim48hr,HIF1A,52,0.0,0.06285734447215795,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,HIF1A,52,0.0,0.10150671142046463,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2465,CEBPB,Rest,SP3,26,0.0,0.023164967491675105,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,SP3,26,0.0,0.07417888365978874,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,SP3,26,0.0,0.048796467291046294,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,SP3,26,-0.0010768589205466784,-1.1417738273983533,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,SP3,26,-0.0011143178607408816,-0.9905887784013652,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3059,CREB1,Stim8hr,SP3,26,0.0,0.08460452617712864,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5028,GATA3,Rest,SP3,26,-0.0027465174117913614,-0.7877170201833495,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5029,GATA3,Stim48hr,SP3,26,-0.0018413013850267117,-0.35766221714737545,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5030,GATA3,Stim8hr,SP3,26,-0.004415633085255439,-1.490698443064402,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5685,HIF1A,Rest,SP3,26,0.0,-0.03483287046721186,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5686,HIF1A,Stim48hr,SP3,26,-0.003308289326154269,-1.4651123964818267,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5687,HIF1A,Stim8hr,SP3,26,0.0,-0.0422290577931382,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12208,SP3,Rest,SP3,26,0.0,0.09175004841898891,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12209,SP3,Stim48hr,SP3,26,0.0015867313799949794,2.8377777647300233,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12210,SP3,Stim8hr,SP3,26,0.0,0.06429422476166917,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14321,USF1,Rest,SP3,26,0.0,0.06740264318952587,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14322,USF1,Stim48hr,SP3,26,0.0,0.034736646341738404,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,SP3,26,0.0,0.05609530610618343,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2465,CEBPB,Rest,USF1,32,0.0,0.030173625449146858,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,USF1,32,0.0,0.09662203191968188,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,USF1,32,0.0,0.06356004686085402,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,USF1,32,0.0,0.18180437642042793,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,USF1,32,-0.00021245441166684031,-0.18188741012015347,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3059,CREB1,Stim8hr,USF1,32,0.0,0.11020200472223461,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5028,GATA3,Rest,USF1,32,0.004799594986252487,2.173299914012357,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5029,GATA3,Stim48hr,USF1,32,0.01095877421903424,3.881284678114397,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5030,GATA3,Stim8hr,USF1,32,-0.0015519276057602838,-0.2694245928956616,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5685,HIF1A,Rest,USF1,32,0.0,-0.04537170238955419,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5686,HIF1A,Stim48hr,USF1,32,-0.0021203639917075634,-0.935634372351815,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5687,HIF1A,Stim8hr,USF1,32,0.0,-0.055005638458301837,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12208,SP3,Rest,USF1,32,0.0,0.1195094418434606,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12209,SP3,Stim48hr,USF1,32,0.0,0.23734322476092695,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
12210,SP3,Stim8hr,USF1,32,0.0,0.08374672201256324,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14321,USF1,Rest,USF1,32,0.0,0.08779560716887762,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14322,USF1,Stim48hr,USF1,32,0.0,0.0452463652386789,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,USF1,32,0.0,0.07306718242546689,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
