target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
HIF1A,Stim48hr,SP3,motif,82,3.384826294588892e-18,-5.853658536585382e-05,-0.058536585365853655,0.058536585365853655,1.0,estimable,1.0,False
HIF1A,Stim48hr,SP3,signed_curated,82,-0.004878048780487805,0.00015609756097560983,-0.004878048780487805,0.00975609756097561,1.0,estimable,1.0,False
HIF1A,Stim48hr,USF1,motif,82,0.004878048780487811,0.00026829268292682945,-0.05365853658536586,0.06341463414634146,1.0,estimable,1.0,False
HIF1A,Stim48hr,USF1,signed_curated,82,0.012195121951219513,-0.00024390243902439016,-0.0024390243902439024,0.012195121951219513,0.15084915084915085,estimable,1.0,False
HIF1A,Stim8hr,CEBPB,motif,2,0.5,0.0013999999999999976,-0.1,0.5,0.16983016983016982,underpowered,1.0,False
HIF1A,Stim8hr,CEBPB,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,CREB1,motif,2,-0.2,0.007000000000000004,-0.2,1.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,CREB1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,EGR1,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,EGR1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,SP3,motif,2,0.5,0.015200000000000003,-0.1,0.5,0.1928071928071928,underpowered,1.0,False
HIF1A,Stim8hr,SP3,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,USF1,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
HIF1A,Stim8hr,USF1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Rest,CEBPB,motif,11,-0.01818181818181819,-0.0012727272727272765,-0.1272727272727273,0.2,1.0,underpowered,1.0,False
SP3,Rest,CEBPB,signed_curated,11,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
