state	model	bin	targets	mean_confidence	fractional_accuracy	intercept	slope
Stim48hr	RNA_fingerprint_cosine	6	64	0.6505088854145886	0.296875	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	7	89	0.754252860957622	0.3595505617977528	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	8	103	0.8267167729656831	0.5533980582524272	-0.6179989467628084	0.30853945640266517
Stim48hr	RNA_fingerprint_cosine	9	0	NA	NA	-0.6179989467628084	0.30853945640266517
Stim48hr	frozen_module_decoder	0	4399	0.0016756110836517082	0.054164120528402006	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	1	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	2	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	3	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	4	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	5	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	6	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	7	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	8	0	NA	NA	13.033665800900913	2.60690023803906
Stim48hr	frozen_module_decoder	9	0	NA	NA	13.033665800900913	2.60690023803906
