cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response
82,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,4.4854727914961785,4.4854727914961785,1.0,0.0,6.135564891081739
77,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['PIK3CG', 'RBL2']",True,Stim48hr,False,2,40,3.741219070020132,3.741219070020132,0.85,0.0,5.662357300098021
77,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,1.0,100,8.0,92.0,196.0,2710.0,"['RBL2', 'TANK', 'PIK3CG', 'DCUN1D5', 'MCL1', 'WDR12', 'FURIN', 'CCT6A']",True,Stim48hr,False,8,40,3.741219070020132,3.741219070020132,0.85,0.0,5.662357300098021
96,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,39,3.4146908488410515,3.4146908488410515,0.8717948717948718,0.0,5.37989735354046
99,age-related macular degeneration,downstream_Stim48hr,2.175303197123102,0.2472574667230525,8.865619589936516,0.2508865975712567,1.0,100,2.0,98.0,27.0,2879.0,"['OAS3', 'FYB1']",True,Stim48hr,False,2,106,3.714052237442605,3.714052237442605,0.8867924528301887,0.0,5.544986673227239
99,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['PIK3CG'],True,Stim48hr,False,1,106,3.714052237442605,3.714052237442605,0.8867924528301887,0.0,5.544986673227239
99,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,1.0,100,8.0,92.0,196.0,2710.0,"['PIK3CG', 'DCUN1D5', 'MCL1', 'ODC1', 'WDR12', 'FURIN', 'PSMG1', 'CCT6A']",True,Stim48hr,False,8,106,3.714052237442605,3.714052237442605,0.8867924528301887,0.0,5.544986673227239
98,age-related macular degeneration,downstream_Stim48hr,1.0382263520319417,0.0251398896207601,6.414269990983109,0.6268694406040285,1.0,100,1.0,99.0,28.0,2878.0,['SPEF2'],True,Stim48hr,False,1,4,3.7067660831380227,3.7067660831380227,1.0,0.0,6.27851966415092
98,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['SLC7A5', 'PSD4']",True,Stim48hr,False,2,4,3.7067660831380227,3.7067660831380227,1.0,0.0,6.27851966415092
98,coronary artery disease,downstream_Stim48hr,0.7160177490686046,0.224694752009804,1.7597107795931302,0.820924123053822,1.0,100,5.0,95.0,199.0,2707.0,"['HAPLN3', 'DCUN1D5', 'LTBP3', 'MCL1', 'EHBP1L1']",True,Stim48hr,False,5,4,3.7067660831380227,3.7067660831380227,1.0,0.0,6.27851966415092
109,age-related macular degeneration,downstream_Stim48hr,1.0382263520319417,0.0251398896207601,6.414269990983109,0.6268694406040285,1.0,100,1.0,99.0,28.0,2878.0,['NUDC'],True,Stim48hr,False,1,7,3.151086390225781,3.151086390225781,0.8571428571428571,0.0,6.054439346269371
109,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['CCND2', 'CDC123']",True,Stim48hr,False,2,7,3.151086390225781,3.151086390225781,0.8571428571428571,0.0,6.054439346269371
109,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,1.0,100,8.0,92.0,196.0,2710.0,"['BHLHE40', 'CCND2', 'PPP1R3B', 'MCL1', 'CDC123', 'FEN1', 'CXCR4', 'JUN']",True,Stim48hr,False,8,7,3.151086390225781,3.151086390225781,0.8571428571428571,0.0,6.054439346269371
110,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,3.1040413620149767,3.1040413620149767,1.0,0.0,4.663439094112067
107,age-related macular degeneration,downstream_Stim48hr,2.152597593953034,0.2447091865168278,8.77102799167939,0.254509281537161,1.0,101,2.0,99.0,27.0,2878.0,"['HSPH1', 'NUDC']",True,Stim48hr,False,2,5,3.3065773432816936,3.3065773432816936,0.8,0.0,5.153291594497779
107,chronic kidney disease,downstream_Stim48hr,1.0665682960300291,0.1242113976572581,4.147592067537315,0.5676378200884225,1.0,101,2.0,99.0,54.0,2851.0,"['NUDT5', 'CDC123']",True,Stim48hr,False,2,5,3.3065773432816936,3.3065773432816936,0.8,0.0,5.153291594497779
107,coronary artery disease,downstream_Stim48hr,1.0236446260870862,0.395203189156139,2.2345784613472106,0.535055330315168,1.0,101,7.0,94.0,197.0,2708.0,"['ARAP1', 'NUDT5', 'MCL1', 'WDR12', 'CDC123', 'CXCR4', 'CCT6A']",True,Stim48hr,False,7,5,3.3065773432816936,3.3065773432816936,0.8,0.0,5.153291594497779
88,chronic kidney disease,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501
88,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,3.678162871831066,3.678162871831066,1.0,0.0,5.389071729816501
95,coronary artery disease,downstream_Stim48hr,1.5529929287684618,0.7086515619368987,3.053346655208283,0.1373634243315296,1.0,100,10.0,90.0,194.0,2712.0,"['RBL2', 'CPNE1', 'GFPT1', 'DCUN1D5', 'ZBTB4', 'CTSA', 'CXCL8', 'MTHFD1L', 'CHAC1', 'CXCR4']",True,Stim48hr,False,10,13,3.5658720731382436,3.5658720731382436,0.9230769230769231,0.0,5.638354669333745
95,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['SLC7A5', 'RBL2']",True,Stim48hr,False,2,13,3.5658720731382436,3.5658720731382436,0.9230769230769231,0.0,5.638354669333745
95,age-related macular degeneration,downstream_Stim48hr,2.175303197123102,0.2472574667230525,8.865619589936516,0.2508865975712567,1.0,100,2.0,98.0,27.0,2879.0,"['FYB1', 'NLRC5']",True,Stim48hr,False,2,13,3.5658720731382436,3.5658720731382436,0.9230769230769231,0.0,5.638354669333745
17,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['ZNF254'],True,Stim48hr,False,1,2,4.090805992499974,4.090805992499974,1.0,0.0,6.023233557509975
17,coronary artery disease,downstream_Stim48hr,0.8730225187086947,0.3085671227648485,2.007777947445601,0.6837675156354472,1.0,100,6.0,94.0,198.0,2708.0,"['SNRPA1', 'MAD1L1', 'RAPH1', 'ZNF607', 'FURIN', 'PALLD']",True,Stim48hr,False,6,2,4.090805992499974,4.090805992499974,1.0,0.0,6.023233557509975
17,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,2,4.090805992499974,4.090805992499974,1.0,0.0,6.023233557509975
8,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,3,4.120603715890791,4.120603715890791,0.6666666666666666,0.0,6.139884552226255
9,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,21,4.716412914177912,4.716412914177912,0.9523809523809523,0.0,6.257667587882639
24,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,2.797589532301937,2.797589532301937,1.0,0.0,4.8283137373023015
24,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['ZBTB26'],True,Stim48hr,False,1,1,2.797589532301937,2.797589532301937,1.0,0.0,4.8283137373023015
24,coronary artery disease,downstream_Stim48hr,0.7160177490686046,0.224694752009804,1.7597107795931302,0.820924123053822,1.0,100,5.0,95.0,199.0,2707.0,"['DDX17', 'TCTA', 'C1RL', 'TTC32', 'RSRP1']",True,Stim48hr,False,5,1,2.797589532301937,2.797589532301937,1.0,0.0,4.8283137373023015
105,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,1,5.617414785772023,5.617414785772023,1.0,0.0,7.186144304522325
0,age-related macular degeneration,downstream_Stim48hr,1.0382263520319417,0.0251398896207601,6.414269990983109,0.6268694406040285,1.0,100,1.0,99.0,28.0,2878.0,['FYB1'],True,Stim48hr,False,1,2,4.135754203435864,4.135754203435864,1.0,0.0,6.618310101642077
6,age-related macular degeneration,downstream_Stim48hr,2.175303197123102,0.2472574667230525,8.865619589936516,0.2508865975712567,1.0,100,2.0,98.0,27.0,2879.0,"['BABAM1', 'IFT20']",True,Stim48hr,False,2,2,4.316653696381421,4.316653696381421,0.5,0.0,6.099327602101155
6,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['CDKAL1'],True,Stim48hr,False,1,2,4.316653696381421,4.316653696381421,0.5,0.0,6.099327602101155
6,coronary artery disease,downstream_Stim48hr,0.7160177490686046,0.224694752009804,1.7597107795931302,0.820924123053822,1.0,100,5.0,95.0,199.0,2707.0,"['RAB5C', 'EIF3F', 'CDKAL1', 'SUPT4H1', 'NCALD']",True,Stim48hr,False,5,2,4.316653696381421,4.316653696381421,0.5,0.0,6.099327602101155
2,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,1.0,100,8.0,92.0,196.0,2710.0,"['CPNE1', 'TXNDC17', 'CCND2', 'NDUFAF6', 'SCNM1', 'HNRNPUL1', 'PIP4K2B', 'DNAJC13']",True,Stim48hr,False,8,3,4.747923314546268,4.747923314546268,1.0,0.0,6.124683390894205
2,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['THAP12', 'CCND2']",True,Stim48hr,False,2,3,4.747923314546268,4.747923314546268,1.0,0.0,6.124683390894205
0,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['GPATCH2L'],True,Stim48hr,False,1,2,4.135754203435864,4.135754203435864,1.0,0.0,6.618310101642077
0,coronary artery disease,downstream_Stim48hr,0.8730225187086947,0.3085671227648485,2.007777947445601,0.6837675156354472,1.0,100,6.0,94.0,198.0,2708.0,"['SPC24', 'VAMP8', 'NDUFAF6', 'SGF29', 'GSS', 'SNRPC']",True,Stim48hr,False,6,2,4.135754203435864,4.135754203435864,1.0,0.0,6.618310101642077
2,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,3,4.747923314546268,4.747923314546268,1.0,0.0,6.124683390894205
41,coronary artery disease,downstream_Stim48hr,0.8730225187086947,0.3085671227648485,2.007777947445601,0.6837675156354472,1.0,100,6.0,94.0,198.0,2708.0,"['HYOU1', 'ACTR2', 'DUT', 'MRC2', 'NCALD', 'DAP']",True,Stim48hr,False,6,8,3.8452168477854825,3.8452168477854825,0.875,0.0,5.267339769480387
45,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,4.209567019334922,4.209567019334922,1.0,0.0,5.937536205082426
45,coronary artery disease,downstream_Stim48hr,0.4163036776879286,0.0836419686435428,1.2717641834716784,0.9712900702587424,1.0,100,3.0,97.0,201.0,2705.0,"['TC2N', 'CTSA', 'ABI2']",True,Stim48hr,False,3,1,4.209567019334922,4.209567019334922,1.0,0.0,5.937536205082426
97,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,96,,,,,[],True,Stim8hr,False,0,1,4.397935308662748,4.397935308662748,1.0,0.0,6.07073772800249
