analysis,target,leave_one_target_coefficient,change
molecular_support_fraction:correlation_all,PIR,0.002160407281825944,0.0003795741478814611
molecular_support_fraction:correlation_all,PKNOX1,0.0016928767473110302,-8.795638663345283e-05
molecular_support_fraction:correlation_all,POU2AF1,0.00237247320443738,0.0005916400704928972
molecular_support_fraction:correlation_all,POU2F2,0.0010955291270574145,-0.0006853040068870685
molecular_support_fraction:correlation_all,PPARA,0.0016966016816629247,-8.423145228155828e-05
molecular_support_fraction:correlation_all,PURA,0.0018732732585535006,9.24401246090176e-05
molecular_support_fraction:correlation_all,RARG,0.0010530856345177132,-0.0007277474994267698
molecular_support_fraction:correlation_all,RB1,0.002201100407274772,0.00042026727333028917
molecular_support_fraction:correlation_all,RBL2,0.0010387609067502857,-0.0007420722271941974
molecular_support_fraction:correlation_all,RBPJ,0.0015984964518399106,-0.00018233668210457243
molecular_support_fraction:correlation_all,REL,0.0023431925540040987,0.0005623594200596157
molecular_support_fraction:correlation_all,RELA,-0.00820183402453882,-0.009982667158483303
molecular_support_fraction:correlation_all,RELB,0.0010125216416224606,-0.0007683114923220224
molecular_support_fraction:correlation_all,REPIN1,0.0019058882805931682,0.00012505514664868517
molecular_support_fraction:correlation_all,RFX1,0.0017202115631812145,-6.062157076326853e-05
molecular_support_fraction:correlation_all,RFX5,0.002070574997172182,0.000289741863227699
molecular_support_fraction:correlation_all,RREB1,0.0015936996691341826,-0.0001871334648103004
molecular_support_fraction:correlation_all,RUNX3,0.0017217756181403688,-5.905751580411421e-05
molecular_support_fraction:correlation_all,SAMD9L,0.0018266155555818533,4.578242163737027e-05
molecular_support_fraction:correlation_all,SCAND1,0.0015887205898618417,-0.00019211254408264128
molecular_support_fraction:correlation_all,SEC14L2,0.001505619812435098,-0.00027521332150938493
molecular_support_fraction:correlation_all,SIN3A,0.0028068539347337693,0.0010260208007892863
molecular_support_fraction:correlation_all,SIRT3,0.0018228155947617643,4.198246081728134e-05
molecular_support_fraction:correlation_all,SKI,0.00024373316695426757,-0.0015370999669902154
molecular_support_fraction:correlation_all,SKIL,0.0020300822711390235,0.00024924913719454045
molecular_support_fraction:correlation_all,SLA2,0.001512939866167927,-0.0002678932677765561
molecular_support_fraction:correlation_all,SMAD1,0.0018748379916800045,9.400485773552146e-05
molecular_support_fraction:correlation_all,SMAD3,0.0016881134643186822,-9.271966962580078e-05
molecular_support_fraction:correlation_all,SMAD4,-0.0008462285998426331,-0.002627061733787116
molecular_support_fraction:correlation_all,SMURF2,0.002491693096568325,0.0007108599626238421
molecular_support_fraction:correlation_all,SP1,0.0030804476438567457,0.0012996145099122627
molecular_support_fraction:correlation_all,SP3,0.0010387513967491033,-0.0007420817371953797
molecular_support_fraction:correlation_all,SP4,0.0013312172864003748,-0.00044961584754410824
molecular_support_fraction:correlation_all,SREBF2,0.0012434884528983135,-0.0005373446810461695
molecular_support_fraction:correlation_all,STAT1,0.009238761886488407,0.007457928752543924
molecular_support_fraction:correlation_all,STAT2,-4.1643924257593265e-05,-0.0018224770582020763
molecular_support_fraction:correlation_all,STAT5A,0.0020139846631659873,0.0002331515292215043
molecular_support_fraction:correlation_all,STAT6,0.0010429768169488516,-0.0007378563169956314
molecular_support_fraction:correlation_all,TBC1D22A,0.0017147349833489187,-6.609815059556434e-05
molecular_support_fraction:correlation_all,TBPL1,0.0026028999298482987,0.0008220667959038157
molecular_support_fraction:correlation_all,TCF3,0.002312560039111145,0.0005317269051666618
molecular_support_fraction:correlation_all,TCF7,0.0024357629350797733,0.0006549298011352903
molecular_support_fraction:correlation_all,TCFL5,0.0020118891199885774,0.00023105598604409444
molecular_support_fraction:correlation_all,TFAP4,0.0018566322047808264,7.57990708363434e-05
molecular_support_fraction:correlation_all,TFCP2,0.001280056973841032,-0.000500776160103451
molecular_support_fraction:correlation_all,TOP2B,0.0030202201224762224,0.0012393869885317394
molecular_support_fraction:correlation_all,TP53BP1,0.0018766651889964448,9.583205505196181e-05
molecular_support_fraction:correlation_all,TRERF1,0.0009285815609222058,-0.0008522515730222772
molecular_support_fraction:correlation_all,TRIB3,0.0005726697928790086,-0.0012081633410654744
molecular_support_fraction:correlation_all,TRIM22,0.002424939782447651,0.000644106648503168
molecular_support_fraction:correlation_all,TRIM25,0.000985771855521532,-0.000795061278422951
molecular_support_fraction:correlation_all,TRPS1,0.001643474095422823,-0.0001373590385216599
molecular_support_fraction:correlation_all,TSC22D3,0.0017767921544097499,-4.040979534733133e-06
molecular_support_fraction:correlation_all,VDR,0.0005334883287708876,-0.0012473448051735954
molecular_support_fraction:correlation_all,VEZF1,0.0032773848273758626,0.0014965516934313796
molecular_support_fraction:correlation_all,VHL,0.0019129505133186082,0.00013211737937412517
molecular_support_fraction:correlation_all,XBP1,0.001547504631448992,-0.00023332850249549106
molecular_support_fraction:correlation_all,YY1,0.0018140010678084195,3.316793386393645e-05
molecular_support_fraction:correlation_all,ZBTB5,0.0017889034571170227,8.070323172539723e-06
molecular_support_fraction:correlation_all,ZBTB7A,0.0015846882538251231,-0.00019614488011935986
molecular_support_fraction:correlation_all,ZEB1,0.003584132568260184,0.001803299434315701
molecular_support_fraction:correlation_all,ZFP36,0.0012149578495162638,-0.0005658752844282192
molecular_support_fraction:correlation_all,ZNF148,0.0094980698047626,0.007717236670818117
molecular_support_fraction:correlation_all,ZNF202,-0.0015847201322952333,-0.0033655532662397163
molecular_support_fraction:correlation_all,ZNF224,0.002637952650078071,0.0008571195161335881
molecular_support_fraction:correlation_all,ZNF350,0.0015702227372579869,-0.00021061039668649612
molecular_support_fraction:correlation_all,ZNF354C,0.0018736034258549882,9.277029191050515e-05
molecular_support_fraction:correlation_all,ZNF444,-0.00045545534281000825,-0.0022362884767544913
molecular_support_fraction:correlation_all,ZNF76,0.000451692446716008,-0.001329140687228475
molecular_any_fraction:correlation_all,AHR,-0.01987867246204039,0.00037848643650626596
molecular_any_fraction:correlation_all,AIP,-0.020034741925474758,0.00022241697307189695
molecular_any_fraction:correlation_all,ARNT,-0.020402413311221945,-0.00014525441267529068
molecular_any_fraction:correlation_all,ASH1L,-0.01962523644095968,0.0006319224575869753
molecular_any_fraction:correlation_all,ATF1,-0.017893042485325212,0.0023641164132214426
molecular_any_fraction:correlation_all,ATF6,-0.02047553706591508,-0.00021837816736842638
molecular_any_fraction:correlation_all,ATM,-0.019885899131713382,0.00037125976683327275
molecular_any_fraction:correlation_all,BACH1,-0.020596264110551387,-0.0003391052120047325
molecular_any_fraction:correlation_all,BACH2,-0.019755678808773644,0.0005014800897730105
molecular_any_fraction:correlation_all,BCL6,-0.02018040659647827,7.675230206838357e-05
molecular_any_fraction:correlation_all,BIN1,-0.020138780919171657,0.00011837797937499714
molecular_any_fraction:correlation_all,BRD7,-0.02026728101908097,-1.0122120534316464e-05
molecular_any_fraction:correlation_all,BRPF1,-0.020330725097344796,-7.356619879814175e-05
molecular_any_fraction:correlation_all,BTAF1,-0.020271385131372346,-1.4226232825691881e-05
molecular_any_fraction:correlation_all,BTG2,-0.022058374716818187,-0.0018012158182715322
molecular_any_fraction:correlation_all,CBX5,-0.02039916648446806,-0.0001420075859214047
molecular_any_fraction:correlation_all,CEBPB,-0.020645728382232796,-0.00038856948368614155
molecular_any_fraction:correlation_all,CHD4,-0.02004966968839459,0.0002074892101520641
molecular_any_fraction:correlation_all,CIITA,-0.019798343637664476,0.0004588152608821783
molecular_any_fraction:correlation_all,CLOCK,-0.018520780512391144,0.0017363783861555106
molecular_any_fraction:correlation_all,CNBP,-0.020162924130668183,9.423476787847121e-05
molecular_any_fraction:correlation_all,CREB1,-0.020798628919202887,-0.0005414700206562324
molecular_any_fraction:correlation_all,CREBBP,-0.01980216406742646,0.00045499483112019373
molecular_any_fraction:correlation_all,CREG1,-0.020753625467873103,-0.0004964665693264481
molecular_any_fraction:correlation_all,CREM,-0.022296281014303716,-0.002039122115757061
molecular_any_fraction:correlation_all,CUX1,-0.01963536118220536,0.0006217977163412956
molecular_any_fraction:correlation_all,DDIT3,-0.021692010388560536,-0.001434851490013881
molecular_any_fraction:correlation_all,DEK,-0.021577344476687865,-0.00132018557814121
molecular_any_fraction:correlation_all,DNMT3A,-0.020041054203768,0.00021610469477865296
molecular_any_fraction:correlation_all,DR1,-0.02023442778994529,2.273110860136554e-05
molecular_any_fraction:correlation_all,E2F3,-0.020439937275209957,-0.00018277837666330274
molecular_any_fraction:correlation_all,E2F5,-0.021061029885420315,-0.0008038709868736608
molecular_any_fraction:correlation_all,E2F7,-0.02171784242317476,-0.0014606835246281057
molecular_any_fraction:correlation_all,EAF1,-0.01662919802545028,0.003627960873096376
molecular_any_fraction:correlation_all,EGR1,-0.0209077735988518,-0.0006506147003051445
molecular_any_fraction:correlation_all,EGR2,-0.0203705443603613,-0.00011338546181464612
molecular_any_fraction:correlation_all,EGR3,-0.019478502045600317,0.0007786568529463377
molecular_any_fraction:correlation_all,EHMT2,-0.0198827622550681,0.0003743966434785542
molecular_any_fraction:correlation_all,EIF2AK2,-0.019807504701256046,0.0004496541972906082
molecular_any_fraction:correlation_all,EIF4EBP1,-0.021252685865659277,-0.0009955269671126227
molecular_any_fraction:correlation_all,ELF4,-0.02062096731661122,-0.0003638084180645658
