target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
POU2F2,Stim48hr,0.13333333333333333,0.7333333333333333,15
POU2F2,Stim8hr,0.6,0.8,5
PPARA,Rest,0.0,0.5,10
PPARA,Stim48hr,0.0,0.5,6
PPARA,Stim8hr,0.0,0.4666666666666667,15
PPARD,Rest,0.0,1.0,1
PPARD,Stim48hr,0.0,1.0,1
PURA,Rest,0.0,0.5,4
PURA,Stim48hr,0.0,0.0,1
PURA,Stim8hr,0.0,0.0,2
RARA,Rest,0.0,0.5,14
RARA,Stim48hr,0.14285714285714285,1.0,7
RARA,Stim8hr,0.15,0.85,20
RARG,Rest,0.0,0.0,2
RARG,Stim48hr,0.0,1.0,1
RARG,Stim8hr,0.0,0.0,1
RB1,Stim48hr,0.0,1.0,1
RB1CC1,Rest,0.0,0.6112531969309463,391
RB1CC1,Stim48hr,0.0,0.6137931034482759,580
RB1CC1,Stim8hr,0.0,0.6170921198668147,901
RBL2,Rest,0.0,1.0,3
RBL2,Stim48hr,0.0,0.0,2
RBL2,Stim8hr,0.0,0.75,8
RBPJ,Rest,0.05,0.7,60
RBPJ,Stim48hr,0.05042016806722689,0.6554621848739496,119
RBPJ,Stim8hr,0.07142857142857142,0.8035714285714286,56
REL,Rest,0.0,1.0,2
REL,Stim48hr,0.0,1.0,1
REL,Stim8hr,0.012658227848101266,0.6708860759493671,79
RELA,Rest,0.6666666666666666,0.6666666666666666,3
RELA,Stim48hr,0.3783783783783784,0.6486486486486487,37
RELA,Stim8hr,0.26666666666666666,0.6857142857142857,105
RELB,Rest,0.0,1.0,2
RELB,Stim48hr,0.0,0.5,2
RELB,Stim8hr,0.0,1.0,1
REPIN1,Rest,0.0,0.0,1
REPIN1,Stim48hr,0.0,0.0,2
REPIN1,Stim8hr,0.0,0.0,1
RFX1,Rest,0.0,0.5927835051546392,194
RFX1,Stim48hr,0.0,0.5182926829268293,164
RFX1,Stim8hr,0.0034129692832764505,0.5870307167235495,293
RFX5,Rest,0.0625,0.5625,16
RFX5,Stim48hr,0.0,0.6923076923076923,13
RFX5,Stim8hr,0.0,0.6666666666666666,12
RREB1,Rest,0.0,0.5319148936170213,47
RREB1,Stim48hr,0.0,0.47058823529411764,34
RREB1,Stim8hr,0.0,0.6052631578947368,76
RUNX3,Rest,0.0,0.875,8
SAMD9L,Rest,0.0,0.5,2
SAMD9L,Stim48hr,0.0,1.0,3
SAMD9L,Stim8hr,0.0,1.0,1
SCAND1,Rest,0.0,1.0,1
SCAND1,Stim48hr,0.0,0.0,3
SCAND1,Stim8hr,0.0,1.0,1
SEC14L2,Rest,0.0,0.6157894736842106,1140
SEC14L2,Stim48hr,0.0,0.5346534653465347,101
SEC14L2,Stim8hr,0.0,0.6285714285714286,70
SETBP1,Stim48hr,0.0,1.0,1
SIN3A,Rest,0.0,0.6583850931677019,161
SIN3A,Stim48hr,0.0,1.0,2
SIN3A,Stim8hr,0.0,0.5806451612903226,31
SIRT3,Rest,0.0,0.5,4
SIRT3,Stim48hr,0.0,0.0,1
SKI,Rest,0.045454545454545456,0.8181818181818182,22
SKI,Stim8hr,0.0,0.75,4
SKIL,Stim48hr,0.0,1.0,1
SLA2,Stim48hr,0.0,0.0,3
SLA2,Stim8hr,0.0,0.5641025641025641,39
SMAD1,Stim48hr,0.0,1.0,1
SMAD1,Stim8hr,0.0,1.0,2
SMAD3,Stim8hr,0.00851063829787234,0.5936170212765958,470
SMAD4,Rest,0.07079646017699115,0.7345132743362832,113
SMAD4,Stim48hr,0.0410958904109589,0.7397260273972602,73
SMAD4,Stim8hr,0.08333333333333333,0.625,24
SMARCA4,Stim48hr,0.0,0.6033333333333334,300
SMARCA4,Stim8hr,0.006097560975609756,0.6585365853658537,164
SMARCB1,Rest,0.0,0.6087364960075152,2129
SMARCB1,Stim8hr,0.0005208333333333333,0.6234375,1920
SMURF2,Rest,0.0,1.0,1
SMURF2,Stim48hr,0.0,0.0,1
SND1,Rest,0.04,0.64,25
SND1,Stim48hr,0.058011049723756904,0.7071823204419889,362
SND1,Stim8hr,0.0673076923076923,0.6923076923076923,104
SP1,Rest,0.0546875,0.5859375,128
SP1,Stim48hr,0.13054187192118227,0.6551724137931034,406
SP1,Stim8hr,0.12217194570135746,0.6108597285067874,221
SP100,Stim8hr,0.0,0.6045751633986928,306
SP2,Rest,0.0,0.5853018372703412,381
SP2,Stim48hr,0.0,0.6058823529411764,1020
SP2,Stim8hr,0.0,0.604191616766467,1670
SP3,Rest,0.26666666666666666,0.6,15
SP3,Stim48hr,0.11607142857142858,0.6517857142857143,112
SP3,Stim8hr,0.07692307692307693,0.38461538461538464,13
SP4,Rest,0.0,0.2727272727272727,11
SP4,Stim48hr,0.0,0.25,4
SP4,Stim8hr,0.0,0.47619047619047616,21
SPEN,Rest,0.0,0.6,20
SPEN,Stim48hr,0.0,0.64,25
SPEN,Stim8hr,0.0,0.6,5
