culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,null,0.8653380143586424,0.0,,,,
Rest,null,0.8743154800680664,0.0,,,,
Rest,null,0.8832929457774901,0.0,,,,
Rest,null,0.892270411486914,0.0,,,,
Rest,null,0.9012478771963379,0.0,,,,
Rest,null,0.9102253429057616,0.0,,,,
Rest,null,0.9192028086151856,0.0,,,,
Rest,null,0.9281802743246093,0.0,,,,
Rest,null,0.9371577400340332,0.0,,,,
Rest,null,0.9461352057434571,0.0,,,,
Rest,null,0.9551126714528808,0.0,,,,
Rest,null,0.9640901371623047,0.0,,,,
Rest,null,0.9730676028717284,0.0,,,,
Rest,null,0.9820450685811524,0.0,,,,
Rest,null,0.9910225342905763,0.0,,,,
Rest,null,1.0,0.0,,,,
Rest,linear,-0.0683184194214374,0.0,,,,
Rest,linear,-0.05934095371201356,0.005931966854212607,,,,
Rest,linear,-0.05036348800258972,0.011863933708425221,,,,
Rest,linear,-0.04138602229316587,0.017795900562637842,,,,
Rest,linear,-0.032408556583742025,0.02372786741685045,,,,
Rest,linear,-0.023431090874318182,0.029659834271063064,,,,
Rest,linear,-0.014453625164894332,0.03559180112527568,,,,
Rest,linear,-0.005476159455470489,0.041523767979488285,,,,
Rest,linear,0.003501306253953354,0.0474557348337009,,,,
Rest,linear,0.012478771963377197,0.053387701687913514,,,,
Rest,linear,0.02145623767280104,0.05931966854212613,,,,
Rest,linear,0.030433703382224883,0.06525163539633874,,,,
Rest,linear,0.03941116909164874,0.07118360225055136,,,,
Rest,linear,0.04838863480107258,0.07711556910476397,,,,
Rest,linear,0.057366100510496426,0.08304753595897657,,,,
Rest,linear,0.06634356621992027,0.0889795028131892,,,,
Rest,linear,0.07532103192934411,0.0949114696674018,,,,
Rest,linear,0.08429849763876796,0.10084343652161441,,,,
Rest,linear,0.0932759633481918,0.10677540337582703,,,,
Rest,linear,0.10225342905761564,0.11270737023003964,,,,
Rest,linear,0.11123089476703948,0.11863933708425226,,,,
Rest,linear,0.12020836047646333,0.12457130393846486,,,,
Rest,linear,0.12918582618588717,0.13050327079267746,,,,
Rest,linear,0.138163291895311,0.13643523764689008,,,,
Rest,linear,0.14714075760473488,0.1423672045011027,,,,
Rest,linear,0.15611822331415873,0.1482991713553153,,,,
Rest,linear,0.16509568902358257,0.15423113820952794,,,,
Rest,linear,0.1740731547330064,0.16016310506374054,,,,
Rest,linear,0.18305062044243026,0.16609507191795317,,,,
Rest,linear,0.19202808615185407,0.17202703877216577,,,,
Rest,linear,0.20100555186127794,0.17795900562637837,,,,
Rest,linear,0.20998301757070176,0.183890972480591,,,,
Rest,linear,0.21896048328012563,0.18982293933480363,,,,
Rest,linear,0.2279379489895495,0.19575490618901628,,,,
Rest,linear,0.23691541469897331,0.20168687304322885,,,,
Rest,linear,0.24589288040839719,0.20761883989744148,,,,
Rest,linear,0.254870346117821,0.21355080675165408,,,,
Rest,linear,0.26384781182724487,0.2194827736058667,,,,
Rest,linear,0.2728252775366687,0.2254147404600793,,,,
Rest,linear,0.28180274324609256,0.23134670731429194,,,,
Rest,linear,0.2907802089555164,0.23727867416850454,,,,
Rest,linear,0.29975767466494024,0.24321064102271717,,,,
Rest,linear,0.30873514037436406,0.24914260787692977,,,,
Rest,linear,0.31771260608378793,0.25507457473114237,,,,
Rest,linear,0.32669007179321174,0.26100654158535497,,,,
Rest,linear,0.3356675375026356,0.26693850843956757,,,,
Rest,linear,0.34464500321205943,0.27287047529378017,,,,
Rest,linear,0.3536224689214833,0.2788024421479928,,,,
Rest,linear,0.3625999346309072,0.2847344090022054,,,,
Rest,linear,0.371577400340331,0.290666375856418,,,,
Rest,linear,0.38055486604975486,0.2965983427106307,,,,
Rest,linear,0.3895323317591787,0.3025303095648433,,,,
Rest,linear,0.39850979746860254,0.3084622764190559,,,,
Rest,linear,0.40748726317802636,0.3143942432732684,,,,
Rest,linear,0.41646472888745023,0.3203262101274811,,,,
Rest,linear,0.42544219459687405,0.3262581769816937,,,,
Rest,linear,0.4344196603062979,0.3321901438359063,,,,
Rest,linear,0.44339712601572173,0.3381221106901189,,,,
Rest,linear,0.45237459172514555,0.3440540775443315,,,,
Rest,linear,0.4613520574345695,0.34998604439854414,,,,
Rest,linear,0.4703295231439933,0.35591801125275674,,,,
Rest,linear,0.4793069888534171,0.36184997810696934,,,,
Rest,linear,0.4882844545628409,0.36778194496118194,,,,
Rest,linear,0.49726192027226485,0.3737139118153946,,,,
Rest,linear,0.5062393859816887,0.37964587866960725,,,,
Rest,linear,0.5152168516911124,0.38557784552381974,,,,
Rest,linear,0.5241943174005363,0.3915098123780324,,,,
Rest,linear,0.5331717831099603,0.3974417792322451,,,,
Rest,linear,0.542149248819384,0.4033737460864576,,,,
Rest,linear,0.5511267145288079,0.40930571294067025,,,,
Rest,linear,0.5601041802382318,0.41523767979488296,,,,
Rest,linear,0.5690816459476555,0.42116964664909545,,,,
Rest,linear,0.5780591116570795,0.4271016135033081,,,,
Rest,linear,0.5870365773665032,0.43303358035752065,,,,
Rest,linear,0.5960140430759271,0.4389655472117333,,,,
Rest,linear,0.604991508785351,0.44489751406594596,,,,
Rest,linear,0.6139689744947747,0.4508294809201585,,,,
Rest,linear,0.6229464402041986,0.45676144777437117,,,,
Rest,linear,0.6319239059136226,0.4626934146285838,,,,
Rest,linear,0.6409013716230463,0.46862538148279637,,,,
Rest,linear,0.6498788373324702,0.474557348337009,,,,
Rest,linear,0.6588563030418941,0.4804893151912217,,,,
Rest,linear,0.6678337687513178,0.4864212820454342,,,,
Rest,linear,0.6768112344607418,0.4923532488996469,,,,
Rest,linear,0.6857887001701655,0.49828521575385937,,,,
Rest,linear,0.6947661658795894,0.504217182608072,,,,
Rest,linear,0.7037436315890133,0.5101491494622847,,,,
Rest,linear,0.712721097298437,0.5160811163164972,,,,
Rest,linear,0.721698563007861,0.5220130831707099,,,,
Rest,linear,0.7306760287172849,0.5279450500249225,,,,
Rest,linear,0.7396534944267086,0.533877016879135,,,,
Rest,linear,0.7486309601361325,0.5398089837333477,,,,
Rest,linear,0.7576084258455562,0.5457409505875602,,,,
Rest,linear,0.7665858915549801,0.5516729174417729,,,,
Rest,linear,0.7755633572644041,0.5576048842959855,,,,
Rest,linear,0.7845408229738278,0.5635368511501981,,,,
Rest,linear,0.7935182886832517,0.5694688180044107,,,,
Rest,linear,0.8024957543926756,0.5754007848586234,,,,
Rest,linear,0.8114732201020993,0.5813327517128359,,,,
Rest,linear,0.8204506858115233,0.5872647185670486,,,,
Rest,linear,0.8294281515209472,0.5931966854212612,,,,
Rest,linear,0.8384056172303709,0.5991286522754737,,,,
Rest,linear,0.8473830829397948,0.6050606191296865,,,,
Rest,linear,0.8563605486492185,0.6109925859838989,,,,
Rest,linear,0.8653380143586424,0.6169245528381117,,,,
Rest,linear,0.8743154800680664,0.6228565196923244,,,,
Rest,linear,0.8832929457774901,0.6287884865465369,,,,
Rest,linear,0.892270411486914,0.6347204534007495,,,,
Rest,linear,0.9012478771963379,0.6406524202549622,,,,
Rest,linear,0.9102253429057616,0.6465843871091747,,,,
Rest,linear,0.9192028086151856,0.6525163539633874,,,,
Rest,linear,0.9281802743246093,0.6584483208175999,,,,
Rest,linear,0.9371577400340332,0.6643802876718126,,,,
Rest,linear,0.9461352057434571,0.6703122545260252,,,,
Rest,linear,0.9551126714528808,0.6762442213802378,,,,
Rest,linear,0.9640901371623047,0.6821761882344504,,,,
Rest,linear,0.9730676028717284,0.688108155088663,,,,
Rest,linear,0.9820450685811524,0.6940401219428756,,,,
Rest,linear,0.9910225342905763,0.6999720887970883,,,,
Rest,linear,1.0,0.7059040556513008,,,,
Rest,spline,-0.0683184194214374,0.0,5.0,,,
Rest,spline,-0.05934095371201356,-0.010885705968839976,5.0,,,
Rest,spline,-0.05036348800258972,-0.021215659037474743,5.0,,,
Rest,spline,-0.04138602229316587,-0.030967288754650768,5.0,,,
Rest,spline,-0.032408556583742025,-0.04011802466911368,5.0,,,
Rest,spline,-0.023431090874318182,-0.048645296329609844,5.0,,,
Rest,spline,-0.014453625164894332,-0.05652653328488538,5.0,,,
Rest,spline,-0.005476159455470489,-0.06373916508368632,5.0,,,
Rest,spline,0.003501306253953354,-0.07026098788147045,5.0,,,
Rest,spline,0.012478771963377197,-0.07608492825644636,5.0,,,
Rest,spline,0.02145623767280104,-0.08122409168297301,5.0,,,
Rest,spline,0.030433703382224883,-0.08569298625005534,5.0,,,
Rest,spline,0.03941116909164874,-0.08950612004669817,5.0,,,
Rest,spline,0.04838863480107258,-0.09267800116190578,5.0,,,
Rest,spline,0.057366100510496426,-0.09522313768468355,5.0,,,
Rest,spline,0.06634356621992027,-0.09715603770403552,5.0,,,
Rest,spline,0.07532103192934411,-0.09849120930896688,5.0,,,
Rest,spline,0.08429849763876796,-0.0992431605884821,5.0,,,
Rest,spline,0.0932759633481918,-0.09942639963158612,5.0,,,
Rest,spline,0.10225342905761564,-0.09905543452728355,5.0,,,
Rest,spline,0.11123089476703948,-0.09814477336457933,5.0,,,
Rest,spline,0.12020836047646333,-0.09670892423247784,5.0,,,
Rest,spline,0.12918582618588717,-0.09476239521998403,5.0,,,
Rest,spline,0.138163291895311,-0.0923196944161025,5.0,,,
Rest,spline,0.14714075760473488,-0.08939532990983784,5.0,,,
Rest,spline,0.15611822331415873,-0.08600380979019534,5.0,,,
Rest,spline,0.16509568902358257,-0.08215964214617894,5.0,,,
Rest,spline,0.1740731547330064,-0.077877335066794,5.0,,,
Rest,spline,0.18305062044243026,-0.07317139664104505,5.0,,,
Rest,spline,0.19202808615185407,-0.06805633495793667,5.0,,,
Rest,spline,0.20100555186127794,-0.06254665810647381,5.0,,,
Rest,spline,0.20998301757070176,-0.056656874175661065,5.0,,,
Rest,spline,0.21896048328012563,-0.05040149125450316,5.0,,,
Rest,spline,0.2279379489895495,-0.04379501743200481,5.0,,,
Rest,spline,0.23691541469897331,-0.036851960797170846,5.0,,,
Rest,spline,0.24589288040839719,-0.02958682943900598,5.0,,,
Rest,spline,0.254870346117821,-0.022014131446514706,5.0,,,
Rest,spline,0.26384781182724487,-0.014148374908702022,5.0,,,
