prediction_model,selector,coverage,selected_targets,risk,ci_low,ci_high,status
without_vector,uncertainty_only,0.9,441,1.4757724379009425,1.3846734023980605,1.562230612180478,developmental_only
without_vector,reliability_only,0.9,441,1.409077547238499,1.3196666588985988,1.4963954352205273,developmental_only
without_vector,applicability,0.9,441,1.4044033036636818,1.3132616062513365,1.4930416826355553,developmental_only
without_vector,predict_all,1.0,490,1.4427612687059874,1.3607868189898997,1.531989163619871,developmental_only
without_vector,random_abstention,1.0,490,1.4427612687059874,1.4427612687059872,1.4427612687059874,developmental_only
without_vector,response_magnitude,1.0,490,1.4427612687059874,1.359992380969679,1.5262347007621453,developmental_only
without_vector,degree,1.0,490,1.4427612687059874,1.3616780354397624,1.5165902116992522,developmental_only
without_vector,uncertainty_only,1.0,490,1.4427612687059874,1.3604180070220935,1.5247463319492176,developmental_only
without_vector,reliability_only,1.0,490,1.4427612687059874,1.3503030943162837,1.5268181476636962,developmental_only
without_vector,applicability,1.0,490,1.4427612687059874,1.3590567569754104,1.5245697342361455,developmental_only
