target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr,random_mean,correlation_delta,cd4_response_genes,shared_response,private_or_inverted,confidence_tier,culture_condition,transfer_class,transfer_residual
TMEM150A,0.0800312962778232,5.774398089638584e-10,-0.0046902508457849,-0.0024034415815326,-0.030611951246251,K562 vs CD4+T (Rest),Rest,,6.0,11.0,13.0,14.0,-0.012568547891189502,0.0925998441690127,11.0,True,False,moderate,,,
FKBP11,0.0804040745805854,4.802525826831086e-10,0.0121445064566318,0.0031732319200625,0.0183738436890743,K562 vs CD4+T (Rest),Rest,,3.0,13.0,12.0,13.0,0.011230527355256198,0.0691735472253292,13.0,True,False,moderate,Rest,intermediate,-0.8135875498632124
ARL6IP6,0.0804071822486381,4.795136439208778e-10,0.0068084262172103,0.0715539249766244,0.0070139445562681,K562 vs CD4+T (Stim 8hr),Stim8hr,,8.0,18.0,17.0,16.0,0.028458765250034265,0.051948416998603836,16.0,True,False,moderate,Stim8hr,intermediate,0.5193069492821254
ZNF394,0.0805551757087684,4.45579572731544e-10,-0.0185138203609457,-0.0161770202909951,-0.0290067192852683,K562 vs CD4+T (Stim 8hr),Stim8hr,,8.0,30.0,25.0,23.0,-0.021232519979069702,0.1017876956878381,23.0,True,False,moderate,Stim8hr,intermediate,-0.5225771577733779
PGBD2,0.0816780986210288,2.542237992343622e-10,0.0186798079197658,0.0069298165938423,0.0051917037491108,K562 vs CD4+T (Stim 48hr),Stim48hr,,14.0,10.0,10.0,14.0,0.010267109420906301,0.0714109892001225,10.0,True,False,high,,,
DYNC2LI1,0.0820675997097121,2.0889085810303587e-10,0.0852785235598563,0.0043100235839696,-0.0124128251778916,K562 vs CD4+T (Stim 48hr),Stim48hr,,8.0,8.0,8.0,9.0,0.025725240655311437,0.05634235905440066,8.0,True,False,moderate,Stim48hr,intermediate,-1.44621326171784
GPANK1,0.0831293583968404,1.2173283528300668e-10,-0.009851140025242,0.0090626654982833,-0.0003556157596516,K562 vs CD4+T (Stim 48hr),Stim48hr,,10.0,8.0,8.0,6.0,-0.00038136342887010047,0.0835107218257105,8.0,True,False,moderate,,,
GSTO1,0.0836207637984683,9.45977016561866e-11,0.0120383702472215,-0.0011386627431588,-0.0094514563384458,K562 vs CD4+T (Stim 8hr),Stim8hr,,17.0,16.0,16.0,16.0,0.00048275038853896657,0.08313801340992934,16.0,True,False,high,Stim8hr,intermediate,-0.905154086385683
SRSF8,0.0840848301946808,7.445115051393559e-11,-0.03210288896801,-0.000307691669963,-0.0034838240592574,K562 vs CD4+T (Stim 8hr),Stim8hr,,16.0,19.0,20.0,20.0,-0.011964801565743468,0.09604963176042426,20.0,True,False,high,Stim8hr,intermediate,0.7815630824446584
TRPV2,0.0841984073710929,7.019895994106361e-11,0.0011045634094334,0.0208358494528117,0.0119447914954926,K562 vs CD4+T (Rest),Rest,,5.0,20.0,23.0,24.0,0.011295068119245901,0.072903339251847,20.0,True,False,moderate,Rest,intermediate,-1.533269076002496
